song,atrist
Texas Hold 'Em,Beyonce
Lovin On Me,Jack Harlow
Lose Control,Teddy Swims
Carnival,¥$: Kanye West & Ty Dolla $ign Featuring Rich The Kid & Playboi Carti
Beautiful Things,Benson Boone
Snooze,SZA
Cruel Summer,Taylor Swift
Greedy,Tate McRae
I Remember Everything,Zach Bryan Featuring Kacey Musgraves
Agora Hills,Doja Cat
"Yes, And?",Ariana Grande
Stick Season,Noah Kahan
Fast Car,Luke Combs
Water,Tyla
Last Night,Morgan Wallen
Redrum,21 Savage
Thinkin' Bout Me,Morgan Wallen
Is It Over Now? (Taylor's Version) [From The Vault],Taylor Swift
Pretty Little Poison,Warren Zeiders
Flowers,Miley Cyrus
Paint The Town Red,Doja Cat
Houdini,Dua Lipa
Made For Me,Muni Long
Never Lose Me,Flo Milli
La Diabla,Xavi
Where The Wild Things Are,Luke Combs
Training Season,Dua Lipa
The Painter,Cody Johnson
Feather,Sabrina Carpenter
What Was I Made For?,Billie Eilish
Rich Baby Daddy,Drake Featuring Sexyy Red & SZA
Whatever She Wants,Bryson Tiller
Truck Bed,HARDY
Selfish,Justin Timberlake
Everybody,Nicki Minaj Featuring Lil Uzi Vert
Vampire,Olivia Rodrigo
Wild Ones,Jessie Murph & Jelly Roll
On My Mama,Victoria Monet
Praise Jah In The Moonlight,YG Marley
Save Me,Jelly Roll With Lainey Wilson
Exes,Tate McRae
Breathe,Yeat
Dance The Night,Dua Lipa
Need A Favor,Jelly Roll
Surround Sound,JID Featuring 21 Savage & Baby Tate
World On Fire,Nate Smith
Yeah!,Usher Featuring Lil Jon & Ludacris
Burn It Down,Parker McCollum
Good Good,"Usher, Summer Walker & 21 Savage"
La Victima,Xavi
End Of Beginning,Djo
Get In With Me,BossMan Dlow
Burn,¥$: Kanye West & Ty Dolla $ign
Man Made A Bar,Morgan Wallen Featuring Eric Church
16 Carriages,Beyonce
First Person Shooter,Drake Featuring J. Cole
Fuk Sumn,¥$: Kanye West & Ty Dolla $ign
One Of The Girls,"The Weeknd, Jennie & Lily Rose Depp"
Back To Me,¥$: Kanye West & Ty Dolla $ign
One Call,Rich Amiri
Contigo,Karol G & Tiesto
23,Chayce Beckham
Murder On The Dancefloor,Sophie Ellis-Bextor
You Broke My Heart,Drake
Think U The Shit (Fart),Ice Spice
FTCU,Nicki Minaj
FE!N,Travis Scott Featuring Playboi Carti
Hiss,Megan Thee Stallion
I Can Feel It,Kane Brown
Bandit,Don Toliver
Spin You Around (1/24),Morgan Wallen
Soak City,310babii
Forever,Noah Kahan
Mamaw's House,Thomas Rhett Featuring Morgan Wallen
Act II: Date @ 8,4Batz
Igual Que Un Angel,Kali Uchis & Peso Pluma
Nee-nah,"21 Savage, Travis Scott & Metro Boomin"
Wildflowers And Wild Horses,Lainey Wilson
Bellakeo,Peso Pluma & Anitta
Harley Quinn,Fuerza Regida & Marshmello
Standing Next To You,Jung Kook
Bittersweet,Gunna
IDGAF,Drake Featuring Yeat
Home,Good Neighbours
Vultures,¥$: Kanye West & Ty Dolla $ign Featuring Lil Durk & Bump J
Yeah Glo!,GloRilla
Coal,Dylan Gossett
Mmhmm,BigXthaPlug
Psycho CEO,Yeat
Perro Negro,Bad Bunny & Feid
Sensational,Chris Brown Featuring Davido & Lojay
Oklahoma Smokeshow,Zach Bryan
Tu Name,Fuerza Regida
Do It,¥$: Kanye West & Ty Dolla $ign
Worth It,Offset & Don Toliver
Talking,¥$: Kanye West & Ty Dolla $ign Featuring North West
Monaco,Bad Bunny
Where It Ends,Bailey Zimmerman
Wondering Why,The Red Clay Strays
Northern Attitude,Noah Kahan With Hozier
